NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
310,Bennour,Nayer,,K,Testiosoite 309,10308 Helsinki,etunimi.sukunimi.308@example.com,"Bennour, Nayer",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,5
311,Bruun,Otto Einar,,E,Testiosoite 310,10309 Helsinki,etunimi.sukunimi.309@example.com,"Bruun, Otto",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,6
312,Eranti,Veikko Oskari,,H,Testiosoite 311,10310 Helsinki,etunimi.sukunimi.310@example.com,"Eranti, Veikko",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,7
313,Friman,Tuula Irene,,ML,Testiosoite 312,10311 Helsinki,etunimi.sukunimi.311@example.com,"Friman, Tuula",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,8
314,Guillén,Jan Edgardo,,V,Testiosoite 313,10312 Helsinki,etunimi.sukunimi.312@example.com,"Guillén, Jan",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,9
315,Heinonen,Pijatta Maaria,,O,Testiosoite 314,10313 Helsinki,etunimi.sukunimi.313@example.com,"Heinonen, Pijatta",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,10
316,Heinonen,Tatu Elias,,B,Testiosoite 315,10314 Helsinki,etunimi.sukunimi.314@example.com,"Heinonen, Tatu",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,11
317,Häkkinen,Lari Valtteri,,T,Testiosoite 316,10315 Helsinki,etunimi.sukunimi.315@example.com,"Häkkinen, Lari",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,12
318,Hämäläinen,Anssi-Petteri,,L,Testiosoite 317,10316 Helsinki,etunimi.sukunimi.316@example.com,"Hämäläinen, Anssi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,13
319,Immonen,Meri Katri Maria,,MM,Testiosoite 318,10317 Helsinki,etunimi.sukunimi.317@example.com,"Immonen, Katri",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,14
320,Iso-Markku,Antti Juho,,K,Testiosoite 319,10318 Helsinki,etunimi.sukunimi.318@example.com,"Iso-Markku, Antti",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,15
321,Iso-Markku,Outi Maarit,,E,Testiosoite 320,10319 Helsinki,etunimi.sukunimi.319@example.com,"Iso-Markku, Outi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,16
322,Järviö,Nina Anna Kristiina,,H,Testiosoite 321,10320 Helsinki,etunimi.sukunimi.320@example.com,"Järviö, Nina",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,17
323,Kangas,Heidi Susanna,,ML,Testiosoite 322,10321 Helsinki,etunimi.sukunimi.321@example.com,"Kangas, Heidi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,18
324,Kiviluoto,Oona Marjut Onerva,,V,Testiosoite 323,10322 Helsinki,etunimi.sukunimi.322@example.com,"Kiviluoto, Oona",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,19
325,Koivulaakso,Dan Mikael,,O,Testiosoite 324,10323 Helsinki,etunimi.sukunimi.323@example.com,"Koivulaakso, Dan",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,20
326,Konttinen,Iiris Maria Alina,,B,Testiosoite 325,10324 Helsinki,etunimi.sukunimi.324@example.com,"Konttinen, Iiris",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,21
327,Korhonen,Juho Topias,,T,Testiosoite 326,10325 Helsinki,etunimi.sukunimi.325@example.com,"Korhonen, Juho",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,22
328,Korhonen,Mikko Petteri,,L,Testiosoite 327,10326 Helsinki,etunimi.sukunimi.326@example.com,"Korhonen, Mikko",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,23
329,Korhonen,Sara Helen,,MM,Testiosoite 328,10327 Helsinki,etunimi.sukunimi.327@example.com,"Korhonen, Sara",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,24
330,Korkkula,Vesa Kalervo,,K,Testiosoite 329,10328 Helsinki,etunimi.sukunimi.328@example.com,"Korkkula, Vesa",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,25
331,Kuokkanen,Juho Sakari,,E,Testiosoite 330,10329 Helsinki,etunimi.sukunimi.329@example.com,"Kuokkanen, Juho",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,26
332,Lehtimäki,Tomi Henrik,,H,Testiosoite 331,10330 Helsinki,etunimi.sukunimi.330@example.com,"Lehtimäki, Tomi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,27
333,Leppänen,Joonas,,ML,Testiosoite 332,10331 Helsinki,etunimi.sukunimi.331@example.com,"Leppänen, Joonas",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,28
334,Lindgren,Eetu Kai Matias,,V,Testiosoite 333,10332 Helsinki,etunimi.sukunimi.332@example.com,"Lindgren, Eetu",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,29
335,Loikkanen,Silva Elina,,O,Testiosoite 334,10333 Helsinki,etunimi.sukunimi.333@example.com,"Loikkanen, Silva",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,30
336,Lundqvist,Agneta Maria Helena,,B,Testiosoite 335,10334 Helsinki,etunimi.sukunimi.334@example.com,"Lundqvist, Agneta",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,31
337,Lyyra,Anna-Gerissa,,T,Testiosoite 336,10335 Helsinki,etunimi.sukunimi.335@example.com,"Lyyra, Gerissa",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,32
338,Nevalainen,Laika Katriina,,L,Testiosoite 337,10336 Helsinki,etunimi.sukunimi.336@example.com,"Nevalainen, Laika",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,33
339,Niiranen,Esko Paavo,,MM,Testiosoite 338,10337 Helsinki,etunimi.sukunimi.337@example.com,"Niiranen, Esko",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,34
340,Norema,Anne Elina,,K,Testiosoite 339,10338 Helsinki,etunimi.sukunimi.338@example.com,"Norema, Anne",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,35
341,Nuortimo,Jussi Elias,,E,Testiosoite 340,10339 Helsinki,etunimi.sukunimi.339@example.com,"Nuortimo, Jussi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,36
342,Oikkonen,Jaana Marjut,,H,Testiosoite 341,10340 Helsinki,etunimi.sukunimi.340@example.com,"Oikkonen, Jaana",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,37
343,Pietinen,Otto Ville,,ML,Testiosoite 342,10341 Helsinki,etunimi.sukunimi.341@example.com,"Pietinen, Otto",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,38
344,Pietinen,Saara Sylvia,,V,Testiosoite 343,10342 Helsinki,etunimi.sukunimi.342@example.com,"Pietinen, Saara",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,39
345,Punamäki,Heta Tyyne Aurora,,O,Testiosoite 344,10343 Helsinki,etunimi.sukunimi.343@example.com,"Punamäki, Lauri",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,40
346,Pörrö,Tanja Irina,,B,Testiosoite 345,10344 Helsinki,etunimi.sukunimi.344@example.com,"Pörrö, Tanja",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,41
347,Rauhala,Paula Maria,,T,Testiosoite 346,10345 Helsinki,etunimi.sukunimi.345@example.com,"Rauhala, Paula",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,42
348,Rosenström,Jan Erik,,L,Testiosoite 347,10346 Helsinki,etunimi.sukunimi.346@example.com,"Rosenström, Jan",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,43
349,Ruuth,Saila Marjaana,,MM,Testiosoite 348,10347 Helsinki,etunimi.sukunimi.347@example.com,"Ruuth, Saila",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,44
350,Saari,Juhani Eero,,K,Testiosoite 349,10348 Helsinki,etunimi.sukunimi.348@example.com,"Saari, Juhani",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,45
351,Salonen,Kuisma Einari,,E,Testiosoite 350,10349 Helsinki,etunimi.sukunimi.349@example.com,"Salonen, Kuisma",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,46
352,Sivonen,Hanna Maria,,H,Testiosoite 351,10350 Helsinki,etunimi.sukunimi.350@example.com,"Sivonen, Hanna",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,47
353,Strömberg,Tomi Aapeli,,ML,Testiosoite 352,10351 Helsinki,etunimi.sukunimi.351@example.com,"Strömberg, Tomi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,48
354,Taavetti,Riikka Maria,,V,Testiosoite 353,10352 Helsinki,etunimi.sukunimi.352@example.com,"Taavetti, Riikka",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,49
355,Tenkanen,Niilo Ville Johannes,,O,Testiosoite 354,10353 Helsinki,etunimi.sukunimi.353@example.com,"Tenkanen, Niilo",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,50
356,Tolvanen,Pekka Matias,,B,Testiosoite 355,10354 Helsinki,etunimi.sukunimi.354@example.com,"Tolvanen, Pekka",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,51
357,Tuomainen,Katri Ilmi Elina,,T,Testiosoite 356,10355 Helsinki,etunimi.sukunimi.355@example.com,"Tuomainen, Katri",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,52
358,Tuomainen,Risto Olli Oskari,,L,Testiosoite 357,10356 Helsinki,etunimi.sukunimi.356@example.com,"Tuomainen, Risto",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,53
359,Tuominen,Inka Maaria,,MM,Testiosoite 358,10357 Helsinki,etunimi.sukunimi.357@example.com,"Tuominen, Inka",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,54
360,Tuusa,Elina Karoliina,,K,Testiosoite 359,10358 Helsinki,etunimi.sukunimi.358@example.com,"Tuusa, Elina",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,55
361,Uusivuori,Ville Olavi,,E,Testiosoite 360,10359 Helsinki,etunimi.sukunimi.359@example.com,"Uusivuori, Ville",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,56
362,Viljanen,Vuokko Valpuri,,H,Testiosoite 361,10360 Helsinki,etunimi.sukunimi.360@example.com,"Viljanen, Vuokko",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,57
363,Virkkala,Niklas Elias,,ML,Testiosoite 362,10361 Helsinki,etunimi.sukunimi.361@example.com,"Virkkala, Niklas",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,58
364,Vähäpassi,Emmi Tuuva Elina,,V,Testiosoite 363,10362 Helsinki,etunimi.sukunimi.362@example.com,"Vähäpassi, Emmi",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,59
365,Ylä-Anttila,Tuukka Salu Santeri,,O,Testiosoite 364,10363 Helsinki,etunimi.sukunimi.363@example.com,"Ylä-Anttila, Tuukka",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,60
366,Alanko,Vilja Laura Ilona,,B,Testiosoite 365,10364 Helsinki,etunimi.sukunimi.364@example.com,"Alanko, Vilja",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,1
367,Ekqvist,Mikko Juhani,,T,Testiosoite 366,10365 Helsinki,etunimi.sukunimi.365@example.com,"Ekqvist, Mikko",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,2
368,Forselius,Anni Riitta Emilia,,L,Testiosoite 367,10366 Helsinki,etunimi.sukunimi.366@example.com,"Forselius, Anni",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,3
369,Hannula,Anssi Mikael,,MM,Testiosoite 368,10367 Helsinki,etunimi.sukunimi.367@example.com,"Hannula, Anssi",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,4
370,Hausen,Maija Sylvia,,K,Testiosoite 369,10368 Helsinki,etunimi.sukunimi.368@example.com,"Hausen, Maija",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,5
371,Henttonen,Riikka Maaria Elena,,E,Testiosoite 370,10369 Helsinki,etunimi.sukunimi.369@example.com,"Henttonen, Riikka",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,6
372,Holst,Daniel Alexander,,H,Testiosoite 371,10370 Helsinki,etunimi.sukunimi.370@example.com,"Holst, Alexander",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,7
373,Hulkkonen,Ville Herman,,ML,Testiosoite 372,10371 Helsinki,etunimi.sukunimi.371@example.com,"Hulkkonen, Ville",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,8
374,Häkkinen,Aaro Markus Sakari,,V,Testiosoite 373,10372 Helsinki,etunimi.sukunimi.372@example.com,"Häkkinen, Aaro",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,9
375,Härkönen,Jehki Joonatan,,O,Testiosoite 374,10373 Helsinki,etunimi.sukunimi.373@example.com,"Härkönen, Jehki",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,10
376,Jahkola,Lauri Akseli,,B,Testiosoite 375,10374 Helsinki,etunimi.sukunimi.374@example.com,"Jahkola, Lauri",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,11
377,Jauhiainen,Veikko Ilmari,,T,Testiosoite 376,10375 Helsinki,etunimi.sukunimi.375@example.com,"Jauhiainen, Ilmari",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,12
378,Kaijalainen,Olga,,L,Testiosoite 377,10376 Helsinki,etunimi.sukunimi.376@example.com,"Kaijalainen, Olga",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,13
379,Kantola,Annika,,MM,Testiosoite 378,10377 Helsinki,etunimi.sukunimi.377@example.com,"Kantola, Annika",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,14
380,Kari,Emma Karoliina,,K,Testiosoite 379,10378 Helsinki,etunimi.sukunimi.378@example.com,"Kari, Emma",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,15
381,Karhu,Riikka Maria,,E,Testiosoite 380,10379 Helsinki,etunimi.sukunimi.379@example.com,"Karhu, Riikka",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,16
382,Keski-Hakuni,Laura Emelia,,H,Testiosoite 381,10380 Helsinki,etunimi.sukunimi.380@example.com,"Keski-Hakuni, Laura",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,17
383,Kiesiläinen,Jaana Liisa Kaisa,,ML,Testiosoite 382,10381 Helsinki,etunimi.sukunimi.381@example.com,"Kiesiläinen, Jaana",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,18
384,Kirjasniemi,Janne Matti,,V,Testiosoite 383,10382 Helsinki,etunimi.sukunimi.382@example.com,"Kirjasniemi, Janne",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,19
385,Kiuru,Antti Tapio,,O,Testiosoite 384,10383 Helsinki,etunimi.sukunimi.383@example.com,"Kiuru, Antti",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,20
386,Koljonen,Markus Sakari,,B,Testiosoite 385,10384 Helsinki,etunimi.sukunimi.384@example.com,"Koljonen, Markus",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,21
387,Korhonen,Aino Kaarina,,T,Testiosoite 386,10385 Helsinki,etunimi.sukunimi.385@example.com,"Korhonen, Kaarina",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,22
388,Kortteinen,Lotta Kaisa,,L,Testiosoite 387,10386 Helsinki,etunimi.sukunimi.386@example.com,"Kortteinen, Lotta",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,23
389,Korvela,Tiina Maria,,MM,Testiosoite 388,10387 Helsinki,etunimi.sukunimi.387@example.com,"Korvela, Tiina",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,24
390,Koskinen,Anna Maarit,,K,Testiosoite 389,10388 Helsinki,etunimi.sukunimi.388@example.com,"Koskinen, Anna",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,25
391,Kulhia,Jaakko Sakarias,,E,Testiosoite 390,10389 Helsinki,etunimi.sukunimi.389@example.com,"Kulhia, Jaakko",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,26
392,Laakso,Senja Susanna,,H,Testiosoite 391,10390 Helsinki,etunimi.sukunimi.390@example.com,"Laakso, Senja",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,27
393,Lehtonen,Jenni Elina,,ML,Testiosoite 392,10391 Helsinki,etunimi.sukunimi.391@example.com,"Lehtonen, Jenni",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,28
394,Lewis,Oliver,,V,Testiosoite 393,10392 Helsinki,etunimi.sukunimi.392@example.com,"Lewis, Oliver",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,29
395,Lindfors,Jaakko Santeri,,O,Testiosoite 394,10393 Helsinki,etunimi.sukunimi.393@example.com,"Lindfors, Jaakko",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,30
396,Lindström,Jon Michael,,B,Testiosoite 395,10394 Helsinki,etunimi.sukunimi.394@example.com,"Lindström, Jon",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,31
397,Lindström,Mikko Jyrki Johannes,,T,Testiosoite 396,10395 Helsinki,etunimi.sukunimi.395@example.com,"Lindström, Mikko",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,32
398,Mankki,Sarianna Karoliina,,L,Testiosoite 397,10396 Helsinki,etunimi.sukunimi.396@example.com,"Mankki, Sarianna",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,33
399,Marttinen,Jukka Tapio,,MM,Testiosoite 398,10397 Helsinki,etunimi.sukunimi.397@example.com,"Marttinen, Jukka",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,34
400,McKeough,Helena,,K,Testiosoite 399,10398 Helsinki,etunimi.sukunimi.398@example.com,"McKeough, Helena",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,35
401,Muuttomaa,Ville Viljami,,E,Testiosoite 400,10399 Helsinki,etunimi.sukunimi.399@example.com,"Muuttomaa, Viljami",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,36
402,Mynttinen,Laura Pauliina,,H,Testiosoite 401,10400 Helsinki,etunimi.sukunimi.400@example.com,"Mynttinen, Laura",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,37
403,Mörtengren,Daniela Deborah,,ML,Testiosoite 402,10401 Helsinki,etunimi.sukunimi.401@example.com,"Mörtengren, Daniela",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,38
404,Ohisalo,Maria Karoliina,,V,Testiosoite 403,10402 Helsinki,etunimi.sukunimi.402@example.com,"Ohisalo, Maria",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,39
405,Perälä,Erkki Hermanni,,O,Testiosoite 404,10403 Helsinki,etunimi.sukunimi.403@example.com,"Perälä, Erkki",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,40
406,Piiparinen,Niklas Henrik Juhana,,B,Testiosoite 405,10404 Helsinki,etunimi.sukunimi.404@example.com,"Piiparinen, Niklas",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,41
407,Pusa,Satu Maria,,T,Testiosoite 406,10405 Helsinki,etunimi.sukunimi.405@example.com,"Pusa, Satu",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,42
408,Raittila,Simo Ahti Aleksi,,L,Testiosoite 407,10406 Helsinki,etunimi.sukunimi.406@example.com,"Raittila, Simo",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,43
409,Rentola,Joonas Ilmari,,MM,Testiosoite 408,10407 Helsinki,etunimi.sukunimi.407@example.com,"Rentola, Joonas",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,44
410,R Farag,Jamila,,K,Testiosoite 409,10408 Helsinki,etunimi.sukunimi.408@example.com,"R Farag, Jamila",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,45
411,Rinkineva,Suvi Maria,,E,Testiosoite 410,10409 Helsinki,etunimi.sukunimi.409@example.com,"Rinkineva, Suvi",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,46
412,Räisänen,Hanna Marika,,H,Testiosoite 411,10410 Helsinki,etunimi.sukunimi.410@example.com,"Räisänen, Hanna",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,47
413,Salovaara,Antti Samuli,,ML,Testiosoite 412,10411 Helsinki,etunimi.sukunimi.411@example.com,"Salovaara, Antti",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,48
414,Saxen,Niklas Otto,,V,Testiosoite 413,10412 Helsinki,etunimi.sukunimi.412@example.com,"Saxen, Niklas",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,49
415,Silkelä,Elina Talvikki,,O,Testiosoite 414,10413 Helsinki,etunimi.sukunimi.413@example.com,"Silkelä, Elina",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,50
416,Sjövall,Anna-Leena,,B,Testiosoite 415,10414 Helsinki,etunimi.sukunimi.414@example.com,"Sjövall, Anna",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,51
417,Sulander,Essi Inkeri,,T,Testiosoite 416,10415 Helsinki,etunimi.sukunimi.415@example.com,"Sulander, Essi",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,52
418,Tulenheimo,Martti Olavi,,L,Testiosoite 417,10416 Helsinki,etunimi.sukunimi.416@example.com,"Tulenheimo, Martti",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,53
419,Tuure,Tuomas Ville Mikael,,MM,Testiosoite 418,10417 Helsinki,etunimi.sukunimi.417@example.com,"Tuure, Tuomas",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,54
420,Urhonen,Amu Anna-Maria,,K,Testiosoite 419,10418 Helsinki,etunimi.sukunimi.418@example.com,"Urhonen, Amu",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,55
421,Valkama,Elina Cecilia,,E,Testiosoite 420,10419 Helsinki,etunimi.sukunimi.419@example.com,"Valkama, Elina",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,56
422,Voutilainen,Erika Eveliina,,H,Testiosoite 421,10420 Helsinki,etunimi.sukunimi.420@example.com,"Voutilainen, Erika",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,57
423,Väyrynen,Taru Anna Elina,,ML,Testiosoite 422,10421 Helsinki,etunimi.sukunimi.421@example.com,"Väyrynen, Taru",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,58
424,Waltari,Pyry Petteri,,V,Testiosoite 423,10422 Helsinki,etunimi.sukunimi.422@example.com,"Waltari, Pyry",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,59
425,Warius,Johanna Maria Larsdotter,,O,Testiosoite 424,10423 Helsinki,etunimi.sukunimi.423@example.com,"Warius, Johanna",Maailmanpyörä,2,HYYn Vihreät - De Gröna vid HUS,60
426,Sinisalo,Aino Elisa,,B,Testiosoite 425,10424 Helsinki,etunimi.sukunimi.424@example.com,"Sinisalo, Aino",Osakunnat,1,ESO,1
427,Salminen,Aleksi Kustaa,,T,Testiosoite 426,10425 Helsinki,etunimi.sukunimi.425@example.com,"Salminen, Aleksi",Osakunnat,1,ESO,2
428,Laulajainen,Anette Katariina,,L,Testiosoite 427,10426 Helsinki,etunimi.sukunimi.426@example.com,"Laulajainen, Anette",Osakunnat,1,ESO,3
429,Heikkilä,Anja Kaarina,,MM,Testiosoite 428,10427 Helsinki,etunimi.sukunimi.427@example.com,"Heikkilä, Anja",Osakunnat,1,ESO,4
430,Björklund,Antti Gustav Rikhard,,K,Testiosoite 429,10428 Helsinki,etunimi.sukunimi.428@example.com,"Björklund, Antti",Osakunnat,1,ESO,5
431,Kosonen,Antti Heikki Tapani,,E,Testiosoite 430,10429 Helsinki,etunimi.sukunimi.429@example.com,"Kosonen, Antti",Osakunnat,1,ESO,6
432,Pelanteri,Antti Hermanni,,H,Testiosoite 431,10430 Helsinki,etunimi.sukunimi.430@example.com,"Pelanteri, Antti",Osakunnat,1,ESO,7
433,Saarsalmi,Auli Merikki,,ML,Testiosoite 432,10431 Helsinki,etunimi.sukunimi.431@example.com,"Saarsalmi, Auli",Osakunnat,1,ESO,8
434,Seitz,Deni Johan,,V,Testiosoite 433,10432 Helsinki,etunimi.sukunimi.432@example.com,"Seitz, Deni 'puf'",Osakunnat,1,ESO,9
435,Huttunen,Elina,,O,Testiosoite 434,10433 Helsinki,etunimi.sukunimi.433@example.com,"Huttunen, Elina",Osakunnat,1,ESO,10
436,Miettinen,Emma Karoliina,,B,Testiosoite 435,10434 Helsinki,etunimi.sukunimi.434@example.com,"Miettinen, Emma",Osakunnat,1,ESO,11
437,Vuorio,Emma Kaisa Johanna,,T,Testiosoite 436,10435 Helsinki,etunimi.sukunimi.435@example.com,"Vuorio, Emma",Osakunnat,1,ESO,12
438,Lehtonen,Esko Pekka,,L,Testiosoite 437,10436 Helsinki,etunimi.sukunimi.436@example.com,"Lehtonen, Esko",Osakunnat,1,ESO,13
439,Slotte,Eva-Stina Merith,,MM,Testiosoite 438,10437 Helsinki,etunimi.sukunimi.437@example.com,"Slotte, Eva-Stina",Osakunnat,1,ESO,14
440,Lämsä,Hanna Eveliina,,K,Testiosoite 439,10438 Helsinki,etunimi.sukunimi.438@example.com,"Lämsä, Hanna",Osakunnat,1,ESO,15
441,Vanala,Hanna-Liina,,E,Testiosoite 440,10439 Helsinki,etunimi.sukunimi.439@example.com,"Vanala, Hanna",Osakunnat,1,ESO,16
442,Hotti,Hannu Sakari,,H,Testiosoite 441,10440 Helsinki,etunimi.sukunimi.440@example.com,"Hotti, Hannu",Osakunnat,1,ESO,17
443,Peiponen,Heidi Katriina,,ML,Testiosoite 442,10441 Helsinki,etunimi.sukunimi.441@example.com,"Peiponen, Heidi",Osakunnat,1,ESO,18
444,Koivupalo,Heikki Tapani,,V,Testiosoite 443,10442 Helsinki,etunimi.sukunimi.442@example.com,"Koivupalo, Heikki",Osakunnat,1,ESO,19
445,Hyvärinen,Heini Helinä,,O,Testiosoite 444,10443 Helsinki,etunimi.sukunimi.443@example.com,"Hyvärinen, Heini",Osakunnat,1,ESO,20
